goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	24801890391 ns/op	3832029608 B/op	     947 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	21289637906 ns/op	3831914840 B/op	     835 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	24448550073 ns/op	3831874856 B/op	     792 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	27389143534 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	24821047383 ns/op	3831859880 B/op	     777 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	18788716569 ns/op	3831854888 B/op	     772 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	19110227260 ns/op	3831844920 B/op	     763 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	20913065341 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	16527229230 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	22344653848 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	21765619543 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	18844491798 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	18251302272 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	20245010805 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	25396474984 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	18500056254 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	19572413308 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	21897068010 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	21574160003 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	14547777056 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	19581915661 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	19370887700 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	20732671986 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	19307246768 ns/op	3831844904 B/op	     762 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	16371481784 ns/op	3831844904 B/op	     762 allocs/op
