goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	9159641820 ns/op	2468221848 B/op	     403 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	15358245198 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5218597463 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	4848249001 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5200291970 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	6235240340 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5084004709 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	6637272677 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5710783829 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5020454042 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	6542859826 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5084217186 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	6043788148 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5207145799 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	4875025617 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	4961645349 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	4964555013 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	6499770566 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5164657207 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	4838044648 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	4908965854 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	5054682998 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	4991685800 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	5019602410 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	5593081366 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	4936973786 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	4982570730 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	4947766235 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	4964233204 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	5976045064 ns/op	2468206872 B/op	     388 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	8514466095 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	23169575894 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	18016788806 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	18960477609 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	16284911494 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	30033845089 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	14646943613 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	18635958864 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	26070910458 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=sweep-128         	       1	38933975304 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	29397892185 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	18883922179 ns/op	2468208072 B/op	     409 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	10227356064 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	33703045508 ns/op	2468208040 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	17623315336 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	6624603792 ns/op	2468208488 B/op	     409 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	20178439046 ns/op	2468208040 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	28545179971 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	24821873899 ns/op	2468208104 B/op	     411 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	44962778274 ns/op	2468208040 B/op	     408 allocs/op
